,"Base Model (neurons: 30 , mb-size: 10, n-rate:3.0, epochs: 30)",neurons: 100,neurons: 10,n-rate: 4.0,n-rate: 2.0
0,78.96%,53.08%,87.90%,91.13%,89.71%
1,81.58%,57.47%,89.63%,92.77%,91.34%
2,82.13%,75.28%,90.78%,93.03%,92.81%
3,82.72%,76.41%,91.00%,93.71%,93.05%
4,94.09%,76.53%,91.46%,93.75%,93.36%
5,94.24%,76.36%,91.32%,93.92%,93.67%
6,94.14%,76.78%,91.79%,94.45%,93.93%
7,94.47%,77.11%,91.23%,93.70%,94.13%
8,94.52%,77.33%,91.84%,94.35%,94.05%
9,94.76%,77.33%,92.25%,94.47%,94.16%
10,94.97%,77.33%,92.17%,95.00%,94.21%
11,94.75%,77.28%,92.55%,94.86%,94.44%
12,94.98%,77.27%,92.01%,94.78%,93.70%
13,94.83%,77.35%,91.28%,94.95%,94.31%
14,94.93%,77.41%,92.31%,94.44%,94.37%
15,94.93%,77.59%,92.60%,94.87%,94.64%
16,95.25%,77.65%,91.78%,94.68%,94.54%
17,95.02%,77.63%,92.16%,94.56%,94.60%
18,94.81%,77.67%,91.86%,94.85%,94.81%
19,95.13%,77.68%,92.43%,94.78%,94.65%
20,94.94%,77.65%,92.23%,95.00%,94.66%
21,95.24%,77.57%,92.60%,94.76%,94.72%
22,95.16%,77.81%,92.42%,95.12%,94.78%
23,95.29%,77.65%,92.37%,94.71%,94.87%
24,94.92%,77.64%,92.29%,95.03%,94.87%
25,95.09%,77.77%,92.17%,95.09%,94.86%
26,95.20%,77.73%,92.51%,95.02%,94.81%
27,95.34%,77.85%,92.78%,95.06%,94.88%
28,94.90%,77.76%,92.79%,95.09%,94.89%
29,95.18%,77.73%,92.58%,95.11%,95.02%
